cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link,cloth_color
와이드 데님 팬츠 (BLEACH),https://www.musinsa.com/app/goods/986708/0,https://image.msscdn.net/images/goods_img/20190319/986708/986708_1_500.jpg?t=20220628154233,None,데님 팬츠,https://www.musinsa.com/app/styles/views/11748?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,데님
와이드 데님 팬츠 (LIGHT BLUE),https://www.musinsa.com/app/goods/858911/0,https://image.msscdn.net/images/goods_img/20180914/858911/858911_6_500.jpg?t=20220628150414,None,데님 팬츠,https://www.musinsa.com/app/styles/views/8679?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,데님
3-스트라이프 트레이닝 팬츠 - 블랙 / CM1409,https://www.musinsa.com/app/goods/957880/0,https://image.msscdn.net/images/goods_img/20190219/957880/957880_8_500.jpg?t=20210727113258,스트라이프,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/8412?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
라이트웨이트 밴딩 하프 슬랙스 [블랙],https://www.musinsa.com/app/goods/1079390/0,https://image.msscdn.net/images/goods_img/20190620/1079390/1079390_5_500.jpg?t=20210705143724,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/14460?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
OG se 카고조거 슬랙스 Black,https://www.musinsa.com/app/goods/573121/0,https://image.msscdn.net/images/goods_img/20170608/573121/573121_23_500.jpg?t=20220628171400,None,트레이닝/조거 팬츠,https://www.musinsa.com/app/styles/views/4476?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,카고
퍼팩트 핏 데님_데미지,https://www.musinsa.com/app/goods/479472/0,https://image.msscdn.net/images/goods_img/20170207/479472/479472_3_500.jpg?t=20200110113101,None,데님 팬츠,https://www.musinsa.com/app/styles/views/1420?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,데님
슬림 크롭 데님 팬츠 [라이트 인디고],https://www.musinsa.com/app/goods/1321881/0,https://image.msscdn.net/images/goods_img/20200225/1321881/1321881_3_500.jpg?t=20201113171647,None,데님 팬츠,https://www.musinsa.com/app/styles/views/15056?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,데님
테이퍼드 히든 밴딩 10부 슬랙스 [블랙],https://www.musinsa.com/app/goods/1168907/0,https://image.msscdn.net/images/goods_img/20190927/1168907/1168907_5_500.jpg?t=20210702101236,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/12547?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
selvedge denim pants deep indigo,https://www.musinsa.com/app/goods/396185/0,https://image.msscdn.net/images/goods_img/20160818/396185/396185_3_500.jpg?t=20211126152837,None,데님 팬츠,https://www.musinsa.com/app/styles/views/4084?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,denim
세미 와이드 핏 슬랙스 - 베이지,https://www.musinsa.com/app/goods/1473707/0,https://image.msscdn.net/images/goods_img/20200604/1473707/1473707_1_500.jpg?t=20200604150347,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/17655?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,베이지
#0085 greysh blue crop jeans,https://www.musinsa.com/app/goods/703957/0,https://image.msscdn.net/images/goods_img/20180125/703957/703957_41_500.jpg?t=20220701111038,None,데님 팬츠,https://www.musinsa.com/app/styles/views/3882?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,grey
19 테이퍼드 크롭 - 블랙 커팅,https://www.musinsa.com/app/goods/922223/0,https://image.msscdn.net/images/goods_img/20181217/922223/922223_2_500.jpg?t=20190130222925,None,데님 팬츠,https://www.musinsa.com/app/styles/views/7728?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1149328/0,https://image.msscdn.net/images/goods_img/20190910/1149328/1149328_10_500.jpg?t=20220125143718,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/14330?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
W002 와이드 블랙 워시드,https://www.musinsa.com/app/goods/1540152/0,https://image.msscdn.net/images/goods_img/20200806/1540152/1540152_3_500.jpg?t=20200911144451,None,데님 팬츠,https://www.musinsa.com/app/styles/views/18117?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
루즈 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],https://www.musinsa.com/app/goods/1174440/0,https://image.msscdn.net/images/goods_img/20191002/1174440/1174440_3_500.jpg?t=20210420115121,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/12485?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,블랙
black crop jeans #0069,https://www.musinsa.com/app/goods/545333/0,https://image.msscdn.net/images/goods_img/20170425/545333/545333_7_500.jpg?t=20220701110858,None,데님 팬츠,https://www.musinsa.com/app/styles/views/3575?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,black
와이드 히든 밴딩 슬랙스 [더스티 베이지],https://www.musinsa.com/app/goods/1249102/0,https://image.msscdn.net/images/goods_img/20191211/1249102/1249102_3_500.jpg?t=20210702094342,None,슈트 팬츠/슬랙스,https://www.musinsa.com/app/styles/views/14447?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,베이지
062 테이퍼드 핏 내츄럴크림 진,https://www.musinsa.com/app/goods/1126307/0,https://image.msscdn.net/images/goods_img/20190823/1126307/1126307_1_500.jpg?t=20190823125042,None,데님 팬츠,https://www.musinsa.com/app/styles/views/13635?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1,크림
