cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link
레이아웃 로고 맨투맨 멜란지 그레이,https://www.musinsa.com/app/goods/1110028/0,https://image.msscdn.net/images/goods_img/20190805/1110028/1110028_3_500.jpg?t=20220628163342,로고,맨투맨/스웨트셔츠,https://www.musinsa.com/app/styles/views/11748?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
릴랙스 오버사이즈 크루넥 - 베이지 / CM1408,https://www.musinsa.com/app/goods/957879/0,https://image.msscdn.net/images/goods_img/20190219/957879/957879_6_500.jpg?t=20210727092552,None,맨투맨/스웨트셔츠,https://www.musinsa.com/app/styles/views/8412?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
릴렉스 핏 옥스포드 워크 셔츠 [화이트],https://www.musinsa.com/app/goods/1222009/0,https://image.msscdn.net/images/goods_img/20191113/1222009/1222009_1_500.jpg?t=20191113104338,None,셔츠/블라우스,https://www.musinsa.com/app/styles/views/14460?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
[기모ver.]헤비 기모 오버 럭비 맨투맨_Midnight Blue,https://www.musinsa.com/app/goods/2038497/0,https://image.msscdn.net/images/goods_img/20210722/2038497/2038497_5_500.jpg?t=20221107104846,None,맨투맨/스웨트셔츠,https://www.musinsa.com/app/styles/views/22571?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
CB 오버 박스 반팔티 (화이트),https://www.musinsa.com/app/goods/1930474/0,https://image.msscdn.net/images/goods_img/20210430/1930474/1930474_2_500.jpg?t=20210430100306,None,반소매 티셔츠,https://www.musinsa.com/app/styles/views/22571?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
C 로고 후디 그레이,https://www.musinsa.com/app/goods/435580/0,https://image.msscdn.net/images/goods_img/20161025/435580/435580_5_500.jpg?t=20220819151523,로고,후드 티셔츠,https://www.musinsa.com/app/styles/views/1379?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
릴렉스 핏 크루 넥 반팔 티셔츠 [크림],https://www.musinsa.com/app/goods/1117534/0,https://image.msscdn.net/images/goods_img/20190813/1117534/1117534_3_500.jpg?t=20201109161133,None,반소매 티셔츠,https://www.musinsa.com/app/styles/views/15056?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
폰테 터틀 넥 긴팔 티셔츠 [블랙],https://www.musinsa.com/app/goods/1190282/0,https://image.msscdn.net/images/goods_img/20191016/1190282/1190282_3_500.jpg?t=20210705115858,None,긴소매 티셔츠,https://www.musinsa.com/app/styles/views/12547?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
22S/S 오버핏 피케티셔츠 (블랙),https://www.musinsa.com/app/goods/1031260/0,https://image.msscdn.net/images/goods_img/20190430/1031260/1031260_5_500.jpg?t=20220325130556,None,피케/카라 티셔츠,https://www.musinsa.com/app/styles/views/17655?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
에스엠씨오씨엘 케이.오버사이즈 스웻 셔츠 그린,https://www.musinsa.com/app/goods/706967/0,https://image.msscdn.net/images/goods_img/20180201/706967/706967_2_500.jpg?t=20180201143223,None,맨투맨/스웨트셔츠,https://www.musinsa.com/app/styles/views/3882?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
시티보이 빅오버 워싱 데님 셔츠_Black,https://www.musinsa.com/app/goods/2037637/0,https://image.msscdn.net/images/goods_img/20210722/2037637/2037637_4_500.jpg?t=20220311101804,None,셔츠/블라우스,https://www.musinsa.com/app/styles/views/22846?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
하이넥 스티치 탑 BLACK,https://www.musinsa.com/app/goods/2062393/0,https://image.msscdn.net/images/goods_img/20210813/2062393/2062393_2_500.jpg?t=20210819105213,None,긴소매 티셔츠,https://www.musinsa.com/app/styles/views/22846?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
베이식 시어서커 셔츠 [화이트],https://www.musinsa.com/app/goods/1059924/0,https://image.msscdn.net/images/goods_img/20190530/1059924/1059924_2_500.jpg?t=20220628145934,None,셔츠/블라우스,https://www.musinsa.com/app/styles/views/14330?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=1
